Date;DL;UL;Ping
2018-03-20 05:24:34;192.05;11.33;16.692
2018-03-20 05:34:33;193.16;12.4;16.005
2018-03-20 05:44:33;195.52;12.48;16.822
2018-03-20 05:54:33;190.13;12.35;18.188
2018-03-20 06:04:33;170.88;12.44;19.569
2018-03-20 06:14:33;187.54;12.28;17.809
2018-03-20 06:24:34;191.97;12.37;16.601
2018-03-20 06:34:34;136.29;12.29;20.248
2018-03-20 06:44:34;193.92;12.01;16.255
2018-03-20 06:54:38;184.81;12.14;17.89
2018-03-20 07:04:34;64.69;12.29;18.061
2018-03-20 07:14:34;148.54;12.14;16.799
2018-03-20 07:24:34;196.52;12.07;19.141
2018-03-20 07:34:35;192.52;12.32;17.285
2018-03-20 07:44:34;195.64;12.22;18.794
2018-03-20 07:54:34;198.62;12.37;16.691
2018-03-20 08:04:37;134.52;12.38;16.734
2018-03-20 08:14:42;189.26;10.05;18.4
2018-03-20 08:24:35;198.31;12.25;17.687
2018-03-20 08:34:34;145.94;12.24;17.567
2018-03-20 08:44:34;160.63;12.3;19.39
2018-03-20 08:54:35;192.45;12.08;17.97
2018-03-20 09:04:35;187.28;12.27;17.936
2018-03-20 09:14:36;181.47;11.94;23.567
2018-03-20 09:24:38;194.92;12.55;21.682
2018-03-20 09:34:36;184.44;12.41;21.311
2018-03-20 09:44:36;170.8;12.48;23.305
2018-03-20 09:54:35;100.65;12.61;21.101
2018-03-20 10:04:36;177.58;12.56;20.28
2018-03-20 10:14:39;195.58;12.14;15.923
2018-03-20 10:24:36;190.9;12.56;20.377
2018-03-20 10:34:39;190.65;12.39;18.097
2018-03-20 10:44:36;165.01;12.22;17.007
2018-03-20 10:54:37;183.6;12.62;15.97
2018-03-20 11:04:36;196.35;12.35;22.132
2018-03-20 11:14:36;175.85;12.44;22.535
2018-03-20 11:24:36;189.65;12.05;17.561
2018-03-20 11:34:36;186.98;12.15;19.567
2018-03-20 11:44:36;174.78;12.32;19.382
2018-03-20 11:54:37;190.0;12.23;18.132
2018-03-20 12:04:37;175.5;12.4;18.124
2018-03-20 12:14:37;183.94;12.26;20.309
2018-03-20 12:24:37;165.19;12.27;18.936
2018-03-20 12:34:37;186.52;12.56;18.26
2018-03-20 12:44:37;174.72;12.43;17.016
2018-03-20 12:54:37;162.96;12.11;21.551
2018-03-20 13:04:37;125.33;12.28;19.76
2018-03-20 13:14:38;122.46;12.22;21.45
2018-03-20 13:24:38;169.96;12.57;18.268
2018-03-20 13:34:37;182.76;12.18;20.02
2018-03-20 13:44:38;150.68;12.05;18.938
2018-03-20 13:54:38;178.84;12.39;20.79
2018-03-20 14:04:38;82.49;12.14;26.649
2018-03-20 14:14:38;140.6;12.51;19.126
2018-03-20 14:24:38;142.7;12.4;18.658
2018-03-20 14:34:38;135.26;11.96;17.762
2018-03-20 14:44:38;125.76;12.18;20.876
2018-03-20 14:54:38;159.82;12.35;23.807
2018-03-20 15:04:44;163.41;12.12;22.136
2018-03-20 15:14:39;106.91;12.19;27.867
2018-03-20 15:24:39;102.12;12.38;18.104
2018-03-20 15:34:39;113.16;12.19;23.433
2018-03-20 15:44:39;157.86;12.47;21.312
2018-03-20 15:54:39;76.32;12.36;25.83
2018-03-20 16:04:41;55.48;12.0;24.347
2018-03-20 16:14:40;96.41;11.92;21.372
2018-03-20 16:24:41;70.36;12.04;35.08
2018-03-20 16:34:42;28.21;12.46;41.625
2018-03-20 16:45:11;26.56;10.69;38.218
2018-03-20 16:46:20;37.37;9.31;31.05
2018-03-20 16:56:17;33.95;12.17;29.993
2018-03-20 17:06:19;32.13;12.24;38.755
2018-03-20 17:16:20;21.25;12.16;29.634
2018-03-20 17:26:17;21.66;12.51;29.622
2018-03-20 17:36:14;33.25;12.04;30.997
2018-03-20 17:44:49;23.14;12.22;32.953
2018-03-20 17:54:51;20.33;12.12;29.453
2018-03-20 18:04:49;29.95;12.43;31.278
2018-03-20 18:14:51;14.51;12.17;48.27
2018-03-20 18:24:50;15.87;12.29;37.669
2018-03-20 18:34:50;14.39;12.31;40.731
2018-03-20 18:44:51;18.67;12.33;53.229
2018-03-20 18:54:51;13.44;12.07;35.698
2018-03-20 19:04:50;12.08;12.13;39.123
2018-03-20 19:14:50;14.64;12.37;37.647
2018-03-20 19:24:51;10.41;12.12;37.144
2018-03-20 19:34:52;12.45;12.28;50.754
2018-03-20 19:44:56;5.78;3.58;57.496
2018-03-20 19:55:00;4.88;4.57;37.748
2018-03-20 20:04:56;7.91;7.86;42.929
2018-03-20 20:14:53;10.7;8.03;44.398
2018-03-20 20:24:52;9.47;12.28;38.908
2018-03-20 20:34:54;7.21;12.03;51.099
2018-03-20 20:44:52;7.55;11.55;39.783
2018-03-20 20:54:53;6.2;12.03;59.265
2018-03-20 21:04:54;5.16;11.84;61.787
2018-03-20 21:14:52;6.28;11.96;37.279
2018-03-20 21:24:51;6.7;8.51;16.923
2018-03-20 21:34:53;5.63;11.66;45.309
2018-03-20 21:44:55;6.84;10.45;32.551
2018-03-20 21:54:54;6.37;11.84;45.184
2018-03-20 22:04:53;7.37;12.34;41.629
2018-03-20 22:14:53;7.13;12.34;48.304
2018-03-20 22:24:53;6.34;12.05;37.623
2018-03-20 22:34:55;9.54;12.12;65.495
2018-03-20 22:44:54;7.81;11.89;39.794
2018-03-20 22:54:52;10.69;11.4;50.463
2018-03-20 23:04:50;10.91;12.38;43.487
2018-03-20 23:14:47;11.2;12.09;42.761
2018-03-20 23:24:48;14.56;11.74;43.736
2018-03-20 23:34:44;26.89;12.12;45.789
2018-03-20 23:44:41;38.51;12.44;31.655
2018-03-20 23:54:39;53.91;12.47;31.654
2018-03-21 00:04:37;91.64;12.55;25.894
2018-03-21 00:14:37;117.56;12.54;20.808
2018-03-21 00:24:36;150.49;12.33;18.069
2018-03-21 00:34:35;110.81;11.52;20.722
2018-03-21 00:44:35;146.35;10.53;17.822
2018-03-21 00:54:31;169.78;12.45;20.144
2018-03-21 01:04:29;192.7;12.08;20.587
2018-03-21 01:14:27;187.01;12.03;17.782
2018-03-21 01:24:25;193.36;12.38;16.118
2018-03-21 01:34:23;143.56;12.5;15.345
2018-03-21 01:44:22;185.73;12.48;17.754
2018-03-21 01:54:20;185.27;12.34;16.892
2018-03-21 02:04:18;195.54;12.4;17.145
2018-03-21 02:14:16;184.32;12.0;16.064
2018-03-21 02:24:14;181.88;12.46;15.055
2018-03-21 02:34:12;195.05;12.44;15.176
2018-03-21 02:44:10;196.68;12.46;18.186
2018-03-21 02:54:09;198.29;12.08;23.752
2018-03-21 03:04:07;198.12;12.39;16.206
2018-03-21 03:14:06;197.27;12.15;17.037
2018-03-21 03:24:04;192.02;12.19;16.133
2018-03-21 03:34:02;191.47;12.42;17.344
2018-03-21 03:44:01;186.29;12.2;18.285
2018-03-21 03:53:58;198.43;12.27;17.368
2018-03-21 04:03:56;194.52;12.42;18.672
2018-03-21 04:13:54;187.8;12.51;18.12
2018-03-21 04:23:53;192.15;12.48;17.363
2018-03-21 04:33:51;186.2;11.13;18.421
2018-03-21 04:43:49;184.67;12.34;18.263
2018-03-21 04:53:47;198.53;12.41;19.121
2018-03-21 05:03:45;196.95;12.29;18.502
2018-03-21 05:13:43;169.34;12.36;17.238
2018-03-21 05:23:41;191.57;12.3;16.113
2018-03-21 05:33:42;194.1;12.19;14.829
2018-03-21 05:43:37;185.92;12.4;16.466
2018-03-21 05:53:36;140.83;12.25;18.955
2018-03-21 06:03:34;166.91;12.32;17.311
2018-03-21 06:13:33;195.98;12.18;16.162
2018-03-21 06:23:31;175.93;12.54;16.051
2018-03-21 06:33:32;194.36;12.64;19.271
2018-03-21 06:43:27;192.6;12.4;15.932
2018-03-21 06:53:26;196.33;12.08;17.846
2018-03-21 07:03:24;189.88;12.56;20.721
2018-03-21 07:13:22;195.5;12.27;16.765
2018-03-21 07:23:21;193.86;12.43;20.898
2018-03-21 07:33:19;193.13;12.29;15.894
2018-03-21 07:43:17;190.53;12.32;16.626
2018-03-21 07:53:16;196.11;12.51;17.965
2018-03-21 08:03:14;180.88;12.34;21.377
2018-03-21 08:13:13;195.32;12.11;18.679
2018-03-21 08:23:11;178.01;7.52;17.54
2018-03-21 08:33:12;181.87;12.2;18.304
2018-03-21 08:43:09;197.2;12.2;17.75
2018-03-21 08:53:06;188.4;12.21;17.933
2018-03-21 09:03:04;188.13;12.38;18.971
2018-03-21 09:13:06;160.37;12.48;19.613
2018-03-21 09:23:00;191.76;12.37;18.455
2018-03-21 09:32:58;186.23;12.1;20.807
2018-03-21 09:42:56;193.52;12.06;21.012
2018-03-21 09:52:51;193.67;12.35;19.75
2018-03-21 10:02:48;188.05;12.3;18.678
2018-03-21 10:12:46;192.18;12.22;16.623
2018-03-21 10:22:44;184.62;12.33;19.093
2018-03-21 10:32:41;179.86;12.36;19.584
2018-03-21 10:42:39;177.33;12.2;17.92
2018-03-21 10:52:38;192.87;12.24;17.678
2018-03-21 11:02:36;137.91;12.27;19.235
2018-03-21 11:12:35;185.92;12.35;17.649
2018-03-21 11:22:33;191.77;12.23;18.01
2018-03-21 11:32:31;69.47;12.33;18.482
2018-03-21 11:42:38;189.08;11.81;18.956
2018-03-21 11:52:26;104.05;11.7;19.004
2018-03-21 12:02:24;137.75;12.16;18.225
2018-03-21 12:12:25;152.46;12.23;18.883
2018-03-21 12:22:26;181.62;12.21;19.011
2018-03-21 12:32:25;168.89;12.26;21.514
2018-03-21 12:42:26;130.19;12.34;19.461
2018-03-21 12:52:26;192.56;12.19;16.368
2018-03-21 13:02:26;168.79;12.0;20.558
2018-03-21 13:12:26;183.37;12.15;19.366
2018-03-21 13:22:28;157.68;12.11;17.705
2018-03-21 13:32:26;179.97;12.33;21.815
2018-03-21 13:42:27;160.03;12.28;17.092
2018-03-21 13:52:27;177.48;12.2;18.711
2018-03-21 14:02:27;191.4;12.06;17.437
2018-03-21 14:12:28;159.41;12.26;19.814
2018-03-21 14:22:28;133.63;12.39;22.731
2018-03-21 14:32:28;122.54;12.38;20.132
2018-03-21 14:42:28;189.93;12.22;21.753
2018-03-21 14:52:29;181.6;12.3;21.801
2018-03-21 15:02:29;184.51;12.21;22.938
2018-03-21 15:12:29;181.73;12.47;16.808
2018-03-21 15:22:29;153.15;12.26;16.685
2018-03-21 15:32:27;154.43;12.22;22.555
2018-03-21 15:42:28;178.85;12.37;19.641
2018-03-21 15:52:23;165.77;12.04;21.09
2018-03-21 16:02:20;174.37;12.1;18.07
2018-03-21 16:12:21;105.68;12.18;28.362
2018-03-21 16:22:23;82.97;12.16;22.348
2018-03-21 16:32:21;140.07;12.42;22.484
2018-03-21 16:42:21;100.9;12.01;23.334
2018-03-21 16:52:21;59.35;12.52;27.7
2018-03-21 17:02:21;89.8;12.04;29.35
2018-03-21 17:12:25;70.49;9.29;23.721
2018-03-21 17:22:23;26.68;12.25;25.257
2018-03-21 17:32:20;38.59;12.17;33.962
2018-03-21 17:42:18;36.98;12.2;21.498
2018-03-21 17:52:20;30.74;12.44;34.267
2018-03-21 18:02:17;19.99;12.38;32.567
2018-03-21 18:12:17;20.16;12.53;48.358
2018-03-21 18:22:15;17.07;12.15;40.908
2018-03-21 18:32:12;18.31;12.11;41.974
2018-03-21 18:42:08;21.23;11.99;33.367
2018-03-21 18:52:04;19.01;11.85;37.546
2018-03-21 19:02:01;20.14;12.19;32.738
2018-03-21 19:11:58;20.21;12.28;36.304
2018-03-21 19:21:56;19.77;12.17;43.089
2018-03-21 19:31:53;16.7;12.49;47.093
2018-03-21 19:41:51;25.41;12.48;40.251
2018-03-21 19:51:50;16.03;12.33;38.19
2018-03-21 20:01:49;12.74;11.84;50.507
2018-03-21 20:11:45;15.71;12.02;43.035
2018-03-21 20:21:47;12.08;6.65;33.059
2018-03-21 20:31:42;4.27;5.31;31.771
2018-03-21 20:41:45;4.63;7.87;90.457
2018-03-21 20:51:47;7.14;4.7;49.978
2018-03-21 21:01:35;7.62;12.3;62.098
2018-03-21 21:11:33;7.29;12.31;65.352
2018-03-21 21:21:28;8.6;12.23;40.56
2018-03-21 21:31:34;9.0;12.45;40.83
2018-03-21 21:41:29;8.74;12.28;43.56
2018-03-21 21:51:27;8.55;12.18;45.149
2018-03-21 22:01:24;8.71;12.22;67.833
2018-03-21 22:11:19;9.15;12.51;49.993
2018-03-21 22:21:19;9.1;12.22;51.29
2018-03-21 22:31:15;9.48;12.52;56.487
2018-03-21 22:41:14;10.19;11.73;65.16
2018-03-21 22:51:11;14.68;12.1;50.845
2018-03-21 23:01:09;13.5;12.42;29.831
2018-03-21 23:11:07;17.99;12.38;49.739
2018-03-21 23:21:04;32.55;12.13;37.952
2018-03-21 23:31:02;37.26;12.19;36.595
2018-03-21 23:41:01;59.32;10.36;32.076
2018-03-21 23:50:56;135.52;12.07;23.437
2018-03-22 00:00:54;92.89;12.06;20.72
2018-03-22 00:10:54;153.08;12.16;22.426
2018-03-22 00:20:49;141.21;12.41;21.432
2018-03-22 00:30:47;156.89;12.16;20.796
2018-03-22 00:40:44;156.81;12.41;22.504
